Na2O_coal ,MgO_coal,Al2O3_coal,SiO2_coal,p2o5_coal,K2O_coal,TiO2_coal,MnO2_coal,Fe2O3_coal,CaO_coal,SO3_coal,na20_flyash,MgO_flyash,Al2O3_flyash,SiO2_flyash,p2o5_flyash,K2O_flyash,TiO2_flyash,MnO2_flyash,Fe2O3_flyash,CaO_flyash,SO3_flyash
0.65,1.95,15.57,32.86,0.15,2.34,0.37,0.14,13.11,16.08,16.84,1.07,2.59,17.4,40.11,0.18,2.95,0.4,0.19,14.69,21.54,3.7725
0.86,2.21,15.6,33.51,0.15,2.38,0.33,0.16,12.15,16.25,19.58,1.11,2.88,17.62,38.47,0.21,2.77,0.37,0.22,13.97,22.14,3.345
1.17,2.17,13.48,34.47,0.17,2.37,0.36,0.13,12.66,14.62,17.42,1.58,2.94,15.9,36.91,0.2,2.81,0.41,0.17,14.44,19.5,3.5775
1.06,2.03,12.88,33.22,0.18,2.22,0.33,0.14,12.64,19.23,18.85,1.41,2.8,15.18,36.85,0.22,2.83,0.37,0.17,15.26,23.59,2.7225
1.34,2.23,13.07,30.25,0.18,1.93,0.31,0.14,12.19,17.94,20.52,1.79,2.95,15.38,38.24,0.2,2.62,0.35,0.19,14.51,23.29,2.8025
1.11,2.11,11.81,28.28,0.15,2.04,0.33,0.14,12.63,17.89,15.08,1.65,2.76,13.59,35.17,0.21,2.65,0.39,0.19,14.71,24.01,2.665
0.9,1.9,15.62,29.12,0.16,2.27,0.3,0.16,12.47,23.14,15.15,1.44,2.56,17.16,40.66,0.21,2.94,0.34,0.2,13.77,27.47,3.9125
0.75,1.92,15.46,31.24,0.18,2.25,0.35,0.13,12.28,16.32,20.99,1.06,2.56,18.31,39.78,0.23,2.8,0.37,0.18,14.59,21.17,3.446666667
0.66,2.03,13.7,33.09,0.19,2.16,0.3,0.13,12.9,17.06,19.18,0.91,2.72,15.52,37.84,0.29,2.74,0.34,0.16,15.52,22.35,3.446666667
0.58,1.8,15.18,31.87,0.15,1.97,0.34,0.17,12,20.14,18.96,0.76,2.35,9.64,35.61,0.18,2.51,0.38,0.23,14.6,25.9,3.446666667
