Na2O_coal ,MgO_coal,Al2O3_coal,SiO2_coal,p2o5_coal,K2O_coal,TiO2_coal,MnO2_coal,Fe2O3_coal,CaO_coal,SO3_coal,na20_flyash,MgO_flyash,Al2O3_flyash,SiO2_flyash,p2o5_flyash,K2O_flyash,TiO2_flyash,MnO2_flyash,Fe2O3_flyash,CaO_flyash,SO3_flyash
0.8,1.62,16.85,34.8,0.17,2.23,0.35,0.12,12.16,16.88,22.88,0.79,2.1,18.02,36.23,0.2,2.57,0.38,0.2,15.28,18.75,4.7575
1.19,1.95,19.13,32.66,0.18,2.17,0.39,0.13,12.32,11.5,25,0.82,2.19,19.24,37.34,0.23,2.73,0.42,0.19,13.9,18.88,7.435
0.71,1.76,17.69,30.75,0.18,2.41,0.367,0.09,14.1,15.84,23.05,0.96,2.38,19.32,35.79,0.21,2.96,0.41,0.16,15.67,19.98,4.2
0.92,1.88,19.03,38.78,0.18,2.18,0.4,0.1,11.29,16.9,19.65,0.98,2.34,21.12,34.42,0.2,2.81,0.43,0.13,15.86,19.32,5.165
1.1,1.61,19.25,26.04,0.18,2.27,0.39,0.11,15.77,13.96,15.65,0.92,2.05,22.65,36.52,0.26,2.74,0.47,0.12,15.49,17.23,1.9175
0.86,1.4,16.28,31.67,0.18,2.19,0.35,0.11,14.52,12.52,15.23,0.69,1.66,19.7,32.35,0.2,3.05,0.41,0.17,16.35,23.53,4.74
1.01,2.07,17.19,31.08,0.18,2.3,0.38,0.13,13.1,17.51,12.82,1.37,2.43,19.1,33.9,0.22,2.79,0.43,0.16,16.78,25.27,2.6675
0.52,1.87,15.83,34.64,0.18,2.28,0.39,0.12,12.48,16.42,23.81,0.84,2.29,17.8,37.74,0.22,3.02,0.4,0.19,13.73,26.54,5.0025
0.92,2.09,18.34,31.08,0.17,2.54,0.39,0.11,13.25,15.49,25.3,1.61,2.76,19.46,34.42,0.21,2.75,0.42,0.16,15.71,21.48,6.2975
0.8,1.65,16.58,32.62,0.17,2.43,0.38,0.14,12.72,17.52,30.2,0.91,2.29,18.35,37.2,0.19,2.78,0.4,0.18,14.45,22.99,4.0125
0.93,1.73,14.41,30.91,0.17,2.41,0.32,0.14,12.83,18.58,28.17,1.06,2.19,17.79,42.32,0.22,2.62,0.4,0.18,13.08,23.98,6.07
0.65,2.18,17.47,33.5,0.19,2.73,0.4,0.13,13.39,18.08,25.75,0.95,2.49,18.61,37.38,0.18,2.7,0.42,0.17,14.24,21.26,3.1475
0.78,2.06,14.5,33.07,0.15,2.27,0.33,0.15,13.23,16.11,26.61,1.22,2.78,17.14,37.94,0.16,2.69,0.41,0.21,15.34,22.22,3.5075
0.85,1.79,14.09,36.76,0.14,2.22,0.45,0.14,13.23,18.16,26.56,1.2,2.5,19.74,37.04,0.16,2.91,0.44,0.19,14.7,22.67,4.53
0.42,1.22,15.52,34.1,0.14,2.38,0.37,0.12,13.31,14.99,28.24,0.87,2.06,17.17,36.61,0.18,3.11,0.39,0.18,14.61,16.21,6.6625
0.56,1.85,15.95,34.04,0.16,2.44,0.39,0.12,12.2,12.87,28.97,0.88,2.58,18.74,33.15,0.2,2.9,0.4,0.15,17.06,21.16,9.11
0.74,1.75,15.07,40.95,0.14,1.84,0.34,0.14,11.54,17.32,24.66,1.27,2.72,17.8,33.37,0.17,2.9,0.37,0.18,16.23,21.74,7.265
0.81,1.98,11.5,31.5,0.15,2.03,0.32,0.15,14.67,13.66,22.8,1.29,2.82,18.15,35.89,0.16,2.72,0.4,0.17,15.94,22.67,5.1375
0.61,1.74,16.3,31.5,0.16,1.92,0.37,0.13,12.75,19.7,23.75,1.01,2.51,17.21,36.54,0.17,2.71,0.39,0.22,15.53,20.6,4.7925
0.87,1.98,16.57,33.11,0.16,2.14,0.38,0.12,12.88,15.88,15.39,1.28,2.7,18.86,34,0.18,2.87,0.45,0.17,17.34,21.01,6.6925
1.09,2.13,15.54,33.69,0.17,1.76,0.31,0.13,13.37,17.31,23.94,0.83,2.38,15.71,38.52,0.19,2.78,0.34,0.2,15.68,20.42,6.5325
0.66,1.77,11.79,26.65,0.15,1.8,0.29,0.16,14.1,17.14,25.06,0.87,2.46,20.14,35.21,0.15,2.75,0.46,0.17,15.31,21.83,5.99
0.83,2.7,16.02,28.61,0.17,1.82,0.39,0.11,13.5,18.4,29.41,0.78,2.04,20.17,33.78,0.15,2.78,0.41,0.14,16.75,22.43,5.6325
0.51,2.02,17.24,27.72,0.17,2.28,0.37,0.11,12.61,11.35,25.42,0.84,2.41,21,33.84,0.19,2.75,0.45,0.13,15.19,15.88,5.7
1.06,2.24,18.97,30.6,0.17,1.95,0.42,0.1,12.54,14.89,24.33,0.9,2.52,20.23,39.75,0.2,2.73,0.44,0.15,14.08,16.95,5.6075
0.65,1.9,15.85,22.63,0.18,2.37,0.33,0.12,15.96,15.06,26.94,0.92,2.32,18.27,35.38,0.17,2.95,0.36,0.17,15.41,20.67,5.675
0.69,2.19,17.2,24.55,0.15,2.55,0.34,0.11,14.87,12.13,26.72,0.9,2.69,20.8,32.9,0.17,2.81,0.4,0.14,15.29,16.21,6.4725
0.63,2.05,16.59,25.5,0.15,2.07,0.35,0.13,13.75,12.52,20.11,0.84,2.53,20.34,34.37,0.19,2.78,0.41,0.14,15.02,18.48,4.1975
0.64,1.91,16.39,31.77,0.17,2.36,0.32,0.13,13.29,17.18,15.31,0.95,2.42,18.11,34,0.17,2.75,0.37,0.18,14.2,17.04,2.5575
1.03,2.11,16.52,27.96,0.16,2.23,0.34,0.13,13.15,15.71,24.14,0.95,2.66,18.18,34.82,0.19,2.73,0.36,0.2,15.27,15.95,4.82
0.91,2.12,14.04,34.58,0.17,2.45,0.34,0.13,12.62,13.52,23.41,1.23,2.66,17.45,39.81,0.18,2.92,0.32,0.16,14.35,19.58,4.875
0.68,2.2,15.28,37.4,0.17,2.47,0.37,0.12,11.55,15.63,21.76,0.93,3.03,20.65,38.97,0.17,2.71,0.39,0.13,14.12,18.6,4.1
1.11,2.15,14.44,30.33,0.15,2.02,0.31,0.13,12.62,14.25,26.3,0.9,2.49,20.16,33.91,0.18,2.73,0.4,0.13,15.15,19.44,6.29
0.58,2.03,12.71,34.71,0.14,2.27,0.31,0.15,12.02,12.67,17.03,0.86,2.45,18.25,36.25,0.19,2.8,0.37,0.15,15.05,21.35,5.9125
0.75,2.26,13.43,33.1,0.16,2.13,0.28,0.13,11.06,12.19,20.26,0.85,2.58,17.96,35.93,0.21,2.67,0.37,0.17,14.61,15.41,4.7225
0.64,2.09,13.77,35.87,0.16,2.38,0.33,0.14,10.99,11.18,19.34,0.91,2.56,20.17,40.11,0.17,2.81,0.41,0.13,12.5,15.46,2.71
0.77,2.21,13.89,36.2,0.17,2.26,0.34,0.13,11.56,9.97,16.47,0.97,2.38,19.76,38.15,0.21,2.85,0.42,0.17,14.29,13.78,2.1075
1.11,2.24,14.99,30.51,0.17,1.95,0.37,0.14,13.52,14.5,17.82,0.9,2.5,19.26,36.28,0.2,2.56,0.4,0.14,15.81,21.65,3.8
1.21,2.39,14.96,32.35,0.16,2.36,0.34,0.13,12.3,12.99,25.65,0.81,2.36,18.87,36.71,0.23,2.69,0.42,0.14,15.16,15.74,4.8125
0.92,2.05,13.47,33.25,0.17,2,0.31,0.14,11.52,12.74,21.8,1.35,2.69,18.83,34.1,0.22,2.61,0.4,0.17,15.97,16.34,4.5725
0.63,2.16,14.67,34.7,0.16,2.67,0.31,0.12,11.51,11.28,19.73,0.91,2.38,19.63,36.98,0.19,2.67,0.43,0.16,14.09,18.47,4.035
0.88,2.11,15.85,31.41,0.16,2.28,0.37,0.14,11.46,15.2,17.46,0.93,2.44,16.45,36.86,0.2,2.65,0.35,0.18,14.08,18.17,2.915
0.79,1.74,17.65,26.59,0.17,2.38,0.36,0.14,13.03,11.95,18.44,1.45,2.64,19.18,30.99,0.18,2.63,0.38,0.17,15.13,17.88,3.9525
0.95,1.78,18.98,32.38,0.18,2.07,0.43,0.11,12.66,13.38,16.42,0.86,2.53,18.79,34.94,0.22,2.55,0.4,0.16,16.1,17.83,5.1125
0.62,1.17,13.96,27.78,0.18,1.91,0.32,0.12,13.14,12.8,26.77,0.88,2.72,18.49,31.52,0.18,2.44,0.39,0.17,16.44,17.06,2.39
0.69,2.3,14.95,29.66,0.15,2.16,0.3,0.13,15.63,11.29,24.56,1.13,2.85,17.68,35.66,0.21,2.62,0.36,0.16,16.21,18.39,2.5025
0.65,2.23,17.21,30.31,0.16,2.27,0.36,0.14,12.56,13.27,24.28,1.57,3.28,18.67,33.16,0.21,2.93,0.39,0.19,14.94,21.17,4.3525
0.86,1.92,18.95,32.15,0.16,2.03,0.37,0.12,13.14,14.07,25.21,1.12,2.72,17.55,35.18,0.17,2.45,0.38,0.19,15.7,14.28,2.28
1.17,1.66,16.17,29,0.15,1.55,0.33,0.13,13.03,13.36,25.45,0.65,2.15,16.42,33.87,0.17,3.02,0.34,0.2,15.9,16.25,3.225
1.06,2.21,15.32,26.29,0.19,2.08,0.31,0.15,14.57,12.66,10.49,0.99,3.35,17.32,32.61,0.2,2.34,0.35,0.22,15.18,16.6,2.1375
0.63,2.39,14.98,31.84,0.15,2.35,0.32,0.13,12.06,11.49,10.08,0.87,3.04,17.12,32.28,0.19,2.89,0.36,0.19,16.56,17.39,1.926666667
1.34,2.11,15.75,30.95,0.17,2.45,0.33,0.13,13.1,10.79,12.39,0.79,2.74,17.82,36.42,0.21,3.02,0.36,0.19,14.58,14.6,1.885
0.7,2.03,14.87,30.32,0.15,2.09,0.3,0.17,12.55,13.92,19.36,0.88,2.9,16.93,30.6,0.18,2.56,0.32,0.24,15.61,20.45,2.006666667
0.71,2.13,14.26,22.67,0.2,2.28,0.3,0.17,15.03,12.26,18.43,1.08,2.93,17.21,39.12,0.23,2.75,0.35,0.22,14,16.44,3.9275
1.11,2.12,15.24,30.67,0.18,2.13,0.32,0.15,13.25,10.58,16.08,1.03,2.94,18.63,28.53,0.21,2.96,0.4,0.17,16,13.52,3.0275
0.9,1.95,16.54,32.89,0.17,2.12,0.34,0.15,12.81,11.59,17.57,0.8,2.61,17.81,40.01,0.22,2.71,0.35,0.2,14.43,14.85,2.4825
0.75,2.16,12.38,36.53,0.19,2.23,0.3,0.14,12.84,12.33,16.79,1.21,2.99,18.26,40.32,0.23,2.58,0.35,0.17,13.81,16.69,3.08
0.66,2.18,16.72,29.49,0.13,1.72,0.36,0.12,12.68,12.8,19.4,0.96,2.95,19.89,33.86,0.15,2.43,0.41,0.15,14.7,17.09,3.09
0.58,1.75,18.66,32.37,0.14,1.99,0.38,0.13,12.28,12.52,17.14,0.82,2.3,18.3,38.88,0.23,2.71,0.4,0.19,14.22,17.22,3.1225
0.49,1.49,16.43,31.02,0.16,1.94,0.36,0.12,12.75,14.51,19.03,0.68,2.45,17.94,41.02,0.18,2.95,0.38,0.18,14.45,17.66,3.0525
0.56,1.95,17.26,30.35,0.13,1.61,0.37,0.18,12.85,10.35,20.77,0.94,2.65,17.02,35.34,0.16,2.72,0.4,0.18,15.47,17.3,3.22
0.8,1.97,13.47,31.41,0.16,1.86,0.28,0.15,12.69,13.19,22.09,1.28,2.68,18.04,34.36,0.18,2.66,0.38,0.18,15.93,27.88,3.7325
0.71,2.32,17.19,26.54,0.17,1.78,0.36,0.15,14.11,14.86,20.93,0.94,2.74,18.45,30.88,0.18,2.84,0.4,0.2,16.16,21.62,3.9675
0.53,1.68,15.72,29.76,0.18,1.83,0.32,0.14,13.87,12.27,22.34,0.87,2.4,17.75,36.71,0.17,2.32,0.37,0.17,14.5,16.95,3.6025
0.51,1.79,15.74,29.06,0.14,1.92,0.31,0.14,12.74,12.09,18.6,0.82,2.38,18.58,39.16,0.19,2.83,0.37,0.19,14.51,14.52,3.145
0.75,1.96,15.62,25.1,0.16,1.96,0.33,0.16,14.3,11.17,17.64,0.78,2.52,18.26,37.74,0.16,2.72,0.36,0.17,13.69,13.01,2.7325
0.55,1.99,15.5,26.67,0.17,1.72,0.3,0.08,13.03,12.53,17.7,0.79,2.45,18.06,34.34,0.15,2.68,0.34,0.11,14.09,15.83,3.3175
1.1,1.98,18.47,26.87,0.14,1.96,0.35,0.12,14.64,13.6,14.63,0.85,2.61,20.3,39.79,0.18,2.74,0.38,0.14,13.78,19.21,2.72
1.06,1.96,14.11,27.69,0.17,2.57,0.34,0.09,14.51,13.92,16.92,0.63,2.35,19.82,30.95,0.24,2.8,0.36,0.13,18.41,17.42,2.5825
0.48,2.56,15.85,29.04,0.14,1.86,0.29,0.1,13.99,14.29,14.56,0.61,2.17,17.81,37.87,0.19,2.73,0.33,0.15,13.9,18.16,2.3525
1.25,2.22,17.95,28.75,0.15,1.93,0.33,0.1,13.37,13.9,18.23,0.8,2.61,20.18,38.43,0.17,2.53,0.36,0.15,14.55,17.3,2.72
1.11,1.96,17.57,26.37,0.15,2.25,0.34,0.12,13.84,14.88,12.3,0.98,2.42,18.76,35.12,0.17,2.79,0.36,0.13,16.05,18.02,1.8875
0.63,1.89,13.57,28.91,0.16,2.34,0.3,0.11,12.99,13.13,17.36,1.15,2.42,18.83,36.23,0.18,2.58,0.36,0.12,15.29,19.32,2.35
0.75,2.08,14.62,36.47,0.15,1.96,0.33,0.1,12.76,14.94,16.79,0.78,2.28,19.86,36.73,0.18,2.47,0.38,0.14,14.74,17.24,2.95
0.92,2.07,17.07,27.96,0.16,1.92,0.33,0.14,14.9,19.08,23.37,0.64,2.07,18.87,35.15,0.19,2.25,0.34,0.09,15.59,22.53,3.7375
1.26,1.91,11.97,29.01,0.15,2.04,0.28,0.13,13.21,17.93,22.49,0.68,2.36,21.17,33.38,0.22,2.55,0.37,0.13,18.23,23.52,3.51
0.43,2.73,15.65,33.85,0.14,1.98,0.3,0.14,12.98,19.05,22.6,0.51,2.25,20.42,37.38,0.19,2.5,0.36,0.18,15.3,23.33,3.7425
1.01,1.92,16.66,35.72,0.15,1.9,0.3,0.11,11.95,19.29,20.14,0.74,2.1,17.88,33.95,0.19,2.39,0.33,0.17,14.57,28.48,2.775
0.98,1.92,17.89,28.62,0.15,2.05,0.31,0.12,12.64,19.13,21.53,0.84,2.44,18.14,31.2,0.19,2.63,0.34,0.15,15.78,25.26,3.2375
0.49,1.88,17.77,28.53,0.15,2.19,0.31,0.11,13.51,13.85,19.27,0.64,2.84,19.63,28.96,0.18,2.64,0.36,0.14,17.57,19.61,2.9675
0.64,1.86,18.61,30.48,0.15,1.8,0.34,0.1,13.07,14.81,20.04,0.66,2.35,20.29,33.12,0.16,2.51,0.38,0.13,16.33,19.36,3.3375
0.92,1.8,18.75,29.87,0.12,2.24,0.34,0.11,12.98,16.2,21,0.84,2.42,20.41,33.35,0.18,2.83,0.38,0.17,15.8,21.12,3.85
0.59,1.88,15.13,27.4,0.14,2.48,0.29,0.11,13.33,14.12,21.88,0.93,2.46,15.7,30.92,0.19,2.56,0.31,0.14,17.12,22.58,4.1325
0.58,1.85,16.39,29.94,0.16,2.18,0.31,0.13,12.61,15.92,19.82,1.3,2.68,18.81,35.6,0.19,2.64,0.34,0.16,14.92,20.56,4.25
0.54,2.19,15.57,31.49,0.16,2.29,0.28,0.11,12.51,13.12,20.72,1.24,2.79,18.43,33.28,0.18,2.52,0.34,0.18,15.46,16.83,3.795
0.51,2.37,18.11,28.65,0.13,1.76,0.32,0.12,13.79,13.53,16.77,1.5,3.3,16.99,32.68,0.15,2.76,0.32,0.16,15.51,22.01,3.35
1.07,2.02,13.89,33.55,0.16,2.27,0.26,0.11,12.18,16.09,21.56,1.52,3.31,16.75,39.51,0.19,2.61,0.33,0.17,14.25,25.97,3.84
1.27,2.81,16.64,35.7,0.17,2.07,0.32,0.13,12.32,18.81,20.76,1.55,3.67,17.62,35.81,0.2,2.71,0.34,0.15,15.24,23.72,3.395
0.86,2.29,15.68,31.06,0.17,2.06,0.32,0.11,12.19,16.11,22.84,1.33,2.9,19.44,35.46,0.21,2.68,0.38,0.16,14.46,22.5,3.8725
0.86,2,16.1,34.72,0.16,2.05,0.3,0.12,11.96,15.17,23.76,1.1,2.46,18.17,33.43,0.18,2.56,0.38,0.14,15.77,20.4,4.3625
0.85,2.24,15.46,26.13,0.16,2.29,0.31,0.11,13.21,11.09,22.62,1.34,2.82,17.54,35.88,0.17,2.7,0.35,0.16,14.42,20.45,3.6875
0.94,2.32,16.42,33.3,0.18,1.8,0.32,0.11,11.63,14.74,23.77,1.43,3.08,16.41,35.6,0.2,2.71,0.33,0.16,15.08,20.69,3.4625
#N/A,2.28,15.28,31.01,0.13,1.98,0.3,0.12,12.02,16.36,19.48,1.38,3.62,17.66,36.21,0.25,2.46,0.35,0.16,14.16,21.88,2.795
0.84,2.13,17.01,31.55,0.18,2.24,0.33,0.09,12.29,17.58,12.97,1.33,2.99,17.9,35.8,0.21,2.58,0.34,0.13,13.72,23.54,1.975
0.81,2.03,18.8,30.48,0.15,2.22,0.35,0.08,11.43,14.29,13.82,1.14,2.63,19.23,34.77,0.18,2.5,0.38,0.1,14.58,25.6,2.3175
1.26,1.87,18.07,40.65,0.17,1.67,0.38,0.11,8.99,14.5,14.81,1.27,2.44,20.62,44.62,0.2,2.48,0.41,0.15,10.43,17.85,2.7
0.77,1.73,14.4,32.38,0.13,1.8,0.28,0.11,11.01,15.21,16.56,0.94,2.12,18.24,42.5,0.13,2.49,0.34,0.14,11.56,15.74,2.67
0.83,2.18,17.55,35.01,0.16,2.06,0.34,0.11,9.31,16.66,17.31,1.11,2.75,18.3,39.18,0.19,2.45,0.36,0.16,11.25,24.76,2.305
1.16,2.03,17.13,38.95,0.17,1.96,0.32,0.14,9.44,12.7,13.42,1.24,2.43,18.41,42.76,0.2,2.42,0.35,0.16,12.05,15.91,2.3925
1.23,2.07,15.03,40.12,0.18,2.04,0.28,0.11,9.36,17.72,17.23,1.24,2.88,18.58,41.17,0.19,2.53,0.35,0.15,11.72,21.84,1.6375
0.99,2.27,17.6,31.6,0.16,2.25,0.33,0.13,11.41,15.92,15.45,1.41,2.96,18,42.73,0.2,2.5,0.34,0.14,11.39,15.54,2.395
0.72,1.89,12.42,34.27,0.13,2.28,0.28,0.12,10.4,17.84,12.65,1.25,2.74,16.7,45.11,0.18,2.81,0.34,0.21,10.61,19.32,2.28
1.05,2.5,16.13,38.35,0.19,2.36,0.33,0.12,9.98,17.48,18.73,1.34,3.09,13.08,40.84,0.18,2.64,0.28,0.18,11.8,16.55,2.0225
1.13,1.93,14.38,34.66,0.18,2.46,0.3,0.1,10.31,13.26,15.59,1.68,4.1,16.34,41.49,0.19,2.75,0.35,0.14,12.15,19.36,2.3475
0.75,2.29,16.32,36.44,0.16,1.94,0.31,0.11,10.48,11.28,11.43,1.36,2.84,18.28,39.81,0.19,2.29,0.35,0.15,12.61,16.48,2.3425
0.81,2.01,16.46,38.82,0.15,2.15,0.32,0.07,10.09,14.99,13.69,1.17,2.65,17.5,39.08,0.19,2.61,0.32,0.08,12.28,18.25,1.655
0.79,1.97,20,38.76,0.19,2,0.37,0.1,10.55,17.57,15.62,1.21,2.73,22.38,43.58,0.23,2.41,0.41,0.12,12.19,21.35,3.17
0.77,1.87,16.87,39.46,0.16,2.26,0.32,0.11,10.83,16.9,11.52,0.95,2.1,19.01,42.7,0.23,2.42,0.36,0.16,12.6,19.38,1.51
0.81,1.94,15.99,41.25,0.2,1.77,0.32,0.13,10.62,15.99,13.39,1.24,2.61,17.11,44.14,0.26,2.43,0.35,0.15,12.97,20.34,1.8225
1.13,2.06,14.11,35.83,0.2,2.2,0.26,0.1,11.83,13.93,17.48,1.5,3.15,16.94,36.78,0.23,2.46,0.15,0.16,15,18.15,2.7275
1.06,2.51,15.34,35.81,0.18,2.07,0.3,0.12,12.06,13.99,18.65,1.59,3.48,16.03,41,0.22,2.6,0.33,0.14,14.41,18.98,2.8825
0.96,2.14,16.33,35.05,0.22,2.08,0.31,0.13,12.87,15.46,15.14,1.53,3.07,18.46,39,0.27,2.57,0.36,0.15,15.68,18.94,2.92
0.53,1.92,17.94,39.35,0.18,2.17,0.37,0.11,10.66,13.35,13.51,1.18,2.53,21.99,38.98,0.26,2.5,0.42,0.15,14.1,19.43,1.715
0.94,2.16,18.48,30.38,0.15,2.2,0.36,0.12,12.73,14.49,18.63,1.25,2.42,21.54,37.12,0.13,2.29,0.44,0.16,15.04,19.07,2.0175
0.74,2.04,17.21,36.99,0.19,2.05,0.34,0.13,12,10.4,15.27,1.23,2.36,20.44,39.99,0.2,2.88,0.42,0.15,13.95,15.36,3.815
1.03,2.23,18.03,35.33,0.18,2.07,0.36,0.11,12.06,12.25,19.27,1.6,2.97,21.32,39.65,0.18,2.59,0.42,0.16,14.36,15.87,3.4375
0.89,1.94,17.75,35.22,0.15,2.01,0.34,0.12,11.77,13.26,11.8,1.11,2.5,18.57,40.26,0.2,2.57,0.36,0.17,14.27,19.27,1.695
0.67,2.05,19.6,38.26,0.18,2.19,0.38,0.13,11.62,13.87,14.27,1.51,2.82,18.08,38.78,0.21,2.45,0.36,0.17,14.18,19.89,2.315
0.74,1.72,17.45,37.45,0.19,2.25,0.35,0.15,12.41,16.32,14.23,1.41,2.86,17.99,35.54,0.23,2.57,0.37,0.19,15.84,22.12,2.515
0.89,1.98,13.88,34.97,0.13,2.12,0.29,0.14,11.98,11.89,11.22,1.49,2.63,16.31,44.19,0.21,2.42,0.36,0.2,12.54,18.62,1.7375
0.99,2.05,13.51,36.22,0.13,2.41,0.27,0.16,11.55,12.63,16.75,1.47,2.92,16.31,41.53,0.2,2.36,0.35,0.23,14.47,17.27,2.42
0.91,1.96,14.42,36.32,0.16,2.36,0.29,0.15,11.43,16.31,16.71,1.31,2.71,15.74,40.46,0.2,2.71,0.3,0.21,14.41,2.4,2.69
1.27,2.14,15.04,38.12,0.17,2.21,0.31,0.11,11.49,17.38,15.4,1.06,3.05,14.42,39.05,0.19,2.7,0.29,0.11,15.01,20.47,2.1025
1.03,2.21,18.61,39.65,0.2,2.31,0.37,0.14,11.05,14.04,15.73,1.56,3.09,23.18,42.97,0.24,2.68,0.47,0.15,13.37,19.42,2.4525
0.84,1.79,14,37.84,0.17,2.19,0.27,0.13,10.8,13.25,17.04,0.86,1.81,18.98,39.2,0.23,2.53,0.36,0.16,13.35,16.91,2.8925
1.26,2.56,16.65,42.19,0.19,2.08,0.32,0.12,10.36,18.52,13.78,1.57,2.83,20.11,42.11,0.22,2.45,0.38,0.16,13.23,21.33,2.033333333
0.98,2.06,17.27,42.11,0.15,1.82,0.33,0.14,9.76,12.43,19.32,1.38,2.58,19.79,45.07,0.2,2.55,0.38,0.19,11.42,18.57,1.626666667
0.97,2.02,16.72,39.83,0.15,2.25,0.33,0.13,10.48,9.89,18.62,1.52,2.75,18.59,43.64,0.18,2.51,0.35,0.19,12.87,11.85,2.8375
#N/A,1.93,18.01,40.14,0.15,2.09,0.34,0.19,9.78,11.53,16.02,1.39,2.55,18.65,42.32,0.17,1.98,0.35,0.2,12.3,18,3.2475
1.02,1.93,16.87,38.11,0.15,1.84,0.45,0.13,10.64,13.34,22.78,1.49,2.64,18.14,40.34,0.17,2.37,0.34,0.16,13.55,17.8,4.515
1.8,2.06,16.63,36.75,0.18,2.22,0.35,0.07,10.98,15.77,18.73,1.3,2.55,19.93,40.61,0.19,2.59,0.42,0.16,13.63,17.55,3.9175
0.94,1.77,17.74,32.43,0.16,1.94,0.38,0.11,12.52,9.14,22.31,1.28,2.28,19.55,41.08,0.18,2.49,0.4,0.14,13.83,15.55,5.93
0.82,1.6,16.9,39.66,0.18,2.22,0.39,0.19,11.39,12.2,21.82,1.11,2.27,19.82,41.03,0.19,2.72,0.43,0.21,13.22,18.1,5.3925
1.23,2.02,18.18,38.01,0.14,2.11,0.39,0.12,10.59,14.6,17.08,1.19,2,16.91,30.67,0.2,2.52,0.38,0.14,15.12,20.95,3.5525
1.67,1.8,15.24,33.73,0.16,2,0.31,0.21,11.1,12.47,15.66,1.16,2.52,18.34,37.27,0.23,2.34,0.42,0.13,13.13,16.12,3.3475
#N/A,2.23,14.59,38.94,0.18,1.93,0.33,0.11,10.07,15.95,21.76,1.07,2.95,19.66,42.88,0.2,2.47,0.44,0.2,12.19,22.68,5.1925
0.9,2.2,16.82,39.94,0.16,2.23,0.35,0.1,8.71,13.84,22.21,1.29,2.89,19.7,45.07,0.2,2.74,0.43,0.2,11.97,19.41,4.68
0.91,2,16.39,40.64,0.18,2.49,0.32,0.11,9.93,15.24,24.47,2.06,2.47,21.81,44.94,0.23,2.9,0.46,0.18,12.81,19.75,4.665
0.9,2.13,17.23,40.67,0.17,2.27,0.36,0.13,9.49,14.79,21.53,2.02,2.37,22.18,43.35,0.2,2.9,0.48,0.18,12.17,20.08,4.53
0.91,2.03,15.75,37.25,0.13,2.33,0.35,0.16,10.57,11.17,23.59,1.9,2.49,22.1,39.07,0.2,2.7,0.46,0.21,14.27,19.8,4.2075
0.95,1.92,15.32,36.3,0.17,2.14,0.34,0.15,10.67,17.24,22.21,2.09,2.43,17.43,41.54,0.2,2.74,0.39,0.15,12.32,19.04,4.965
0.85,2.06,14.98,35.24,0.15,1.79,0.32,0.12,9.32,13.19,20.98,1.03,2.37,18.74,39.96,0.16,2.37,0.37,0.14,10.27,23.71,4.8475
0.92,2.06,17.07,36.75,0.14,1.79,0.35,0.12,9.03,15.95,23.33,1.33,2.8,19.6,39.93,0.17,2.37,0.38,0.18,11.61,20.85,5.4675
0.91,1.93,18.47,33.66,0.16,1.86,0.42,0.12,9.88,16.1,23.78,1.24,2.36,19.01,40.52,0.19,2.42,0.41,0.18,11.73,22.59,5.78
0.81,2,16.36,34.15,0.15,1.82,0.31,0.14,12.55,15.52,23.43,1.24,2.37,17.32,36.25,0.18,2.24,0.34,0.18,15.85,13.78,6.1775
0.94,2.09,15.9,32.44,0.15,1.67,0.33,0.13,11.9,16.13,25.6,1.41,2.65,18.45,38.74,0.21,2.22,0.39,0.19,14.56,19.06,6.8625
0.86,2.03,16.66,28.43,0.15,2.32,0.35,0.14,12.7,14.79,25.74,1.31,2.71,17.84,33.85,0.19,2.63,0.36,0.21,15.45,16.99,5.275
0.93,1.87,15.43,28.03,0.16,2.12,0.33,0.12,13.12,13.79,21.09,1.4,2.82,17.31,31.89,0.17,2.66,0.35,0.18,16.3,17.29,3.745
0.84,1.96,18.28,27.84,0.15,1.8,0.36,0.11,12.27,11.31,19.75,1.23,2.87,18.42,33.13,0.17,2.51,0.39,0.22,15.89,20.23,3.3425
0.83,1.94,15.82,27.74,0.15,2.32,0.36,0.12,12.69,13.71,21.7,1.32,2.66,16.36,29.08,0.18,2.56,0.35,0.15,15.89,20.72,4.2275
0.85,2.2,18.43,25.84,0.13,3.15,0.39,0.13,13.92,14.7,22.01,1.36,2.64,21,29.25,0.18,2.56,0.46,0.15,18.01,20.77,4.625
#N/A,1.8,14.79,34.79,0.14,2.27,0.36,0.1,11.99,9.8,25.08,1.04,2.36,21.37,36.18,0.15,3.01,0.44,0.13,14.61,22.5,4.2875
#N/A,2.34,18.52,31.73,0.15,2.14,0.43,0.12,12.96,13.07,22.98,1.04,2.31,20.13,36.47,0.17,2.91,0.42,0.16,14.87,18.3,4.3675
#N/A,2.01,17.65,28.07,0.15,2.3,0.37,0.13,13.76,14.91,20.15,1.25,2.43,19.74,34.74,0.15,3.15,0.41,0.17,15.62,19.88,4.2225
#N/A,1.87,15.91,34,0.14,1.81,0.35,0.15,11.76,13.19,22.57,1.16,2.49,19.02,34.05,0.15,2.54,0.43,0.17,14.77,25.47,4.4375
0.82,2.17,13.15,27.73,0.16,1.97,0.33,0.14,13.21,17.34,23.45,1.28,2.69,18.63,36.23,0.22,2.49,0.37,0.13,14.31,19.69,3.88
